,,is_high_performer,projects_completed,projects_completed,remote_work_eligible,bonus_eligible
,,mean,mean,sum,mean,mean
department,salary_tier,,,,,
Engineering,Q1,0.509,10.36,73936,0.497,0.508
Engineering,Q2,0.503,10.51,1473207,0.501,0.501
Engineering,Q3,0.499,10.521,1489568,0.501,0.501
Engineering,Q4,0.502,10.513,3644086,0.501,0.502
Finance,Q1,0.499,10.489,1251281,0.5,0.502
Finance,Q2,0.499,10.507,1556090,0.5,0.501
Finance,Q3,0.5,10.518,1572525,0.5,0.501
Finance,Q4,0.503,10.512,2282706,0.5,0.497
HR,Q1,0.5,10.498,2942664,0.501,0.5
HR,Q2,0.501,10.517,1891842,0.502,0.499
HR,Q3,0.5,10.507,1820252,0.501,0.499
HR,Q4,,,0,,
Marketing,Q1,0.499,10.511,2311038,0.5,0.499
Marketing,Q2,0.501,10.511,1759501,0.502,0.499
Marketing,Q3,0.499,10.505,1777326,0.501,0.499
Marketing,Q4,0.502,10.503,811114,0.5,0.501
Sales,Q1,0.502,10.513,1744484,0.502,0.499
Sales,Q2,0.5,10.525,1651952,0.502,0.5
Sales,Q3,0.501,10.473,1665036,0.499,0.5
Sales,Q4,0.501,10.489,1589013,0.501,0.5
